order_date,order_id,product,product_id,category,purchase_address,quantity_ordered,price_each,cost_price,turnover,margin,time_of_day,purchase_state
2023-01-09,141313,lightning charging cable,8870146702235,vêtements,"38 johnson st, los angeles, ca 90001",1,14.95,7.475,14.95,7.475,afternoon, ca 90001
2023-01-13,141314,macbook pro laptop,2892197004217,sports,"700 jefferson st, new york city, ny 10001",1,1700,561,1700,1139,unknown, ny 10001
2023-01-01,141316,aaa batteries (4-pack),8395970487080,alimentation,"235 south st, seattle, wa 98101",3,2.99,1.495,8.97,4.485,morning, wa 98101
2023-01-21,141317,27in fhd monitor,9571682095729,vêtements,"875 meadow st, new york city, ny 10001",1,149.99,97.4935,149.99,52.4965,unknown, ny 10001
2023-01-09,141318,bose soundsport headphones,9187067749620,alimentation,"789 lakeview st, boston, ma 02215",1,99.99,49.995,99.99,49.995,afternoon, ma 02215
2023-01-01,141319,bose soundsport headphones,7326188331914,alimentation,"548 maple st, boston, ma 02215",1,99.99,49.995,99.99,49.995,morning, ma 02215
2023-01-24,141320,aa batteries (4-pack),4371695914307,électronique,"326 12th st, los angeles, ca 90001",1,3.84,1.92,3.84,1.92,afternoon, ca 90001
2023-01-10,141321,bose soundsport headphones,4225062546369,alimentation,"207 8th st, los angeles, ca 90001",1,99.99,49.995,99.99,49.995,morning, ca 90001
2023-01-12,141322,aaa batteries (4-pack),6636561921176,sports,"816 lake st, boston, ma 02215",2,2.99,1.495,5.98,2.99,evening, ma 02215
2023-01-17,141323,usb-c charging cable,7513253917740,électronique,"240 river st, new york city, ny 10001",1,11.95,5.975,11.95,5.975,evening, ny 10001
2023-01-04,141324,usb-c charging cable,3941057910337,vêtements,"851 maple st, san francisco, ca 94016",1,11.95,5.975,11.95,5.975,unknown, ca 94016
2023-01-23,141325,bose soundsport headphones,9430106405626,électronique,"880 lake st, austin, tx 73301",1,99.99,49.995,99.99,49.995,afternoon, tx 73301
2023-01-05,141326,google phone,4599223183416,électronique,"131 center st, san francisco, ca 94016",1,600,198,600,402,afternoon, ca 94016
2023-01-06,141328,thinkpad laptop,3335441961489,alimentation,"736 5th st, seattle, wa 98101",1,999.99,329.99670000000003,999.99,669.9933,unknown, wa 98101
2023-01-01,141329,usb-c charging cable,6757344694676,électronique,"122 5th st, portland, me 04101",1,11.95,5.975,11.95,5.975,afternoon, me 04101
2023-01-21,141330,wired headphones,5149226101332,alimentation,"391 5th st, portland, or 97035",1,11.99,5.995,11.99,5.995,afternoon, or 97035
2023-01-19,141332,usb-c charging cable,9765297802760,vêtements,"207 7th st, los angeles, ca 90001",1,11.95,5.975,11.95,5.975,evening, ca 90001
2023-01-01,141333,27in fhd monitor,5735966889669,alimentation,"554 10th st, los angeles, ca 90001",1,149.99,97.4935,149.99,52.4965,afternoon, ca 90001
2023-01-12,141335,aaa batteries (4-pack),2058342872013,alimentation,"174 4th st, los angeles, ca 90001",5,2.99,1.495,14.95,7.475,evening, ca 90001
2023-01-09,141336,iphone,2453023947358,vêtements,"811 hickory st, portland, or 97035",1,700,231,700,469,evening, or 97035
2023-01-09,141337,bose soundsport headphones,5500387518508,électronique,"947 church st, san francisco, ca 94016",1,99.99,49.995,99.99,49.995,morning, ca 94016
2023-01-29,141338,aaa batteries (4-pack),5513922953821,alimentation,"542 4th st, dallas, tx 75001",1,2.99,1.495,2.99,1.495,afternoon, tx 75001
2023-01-28,141339,aaa batteries (4-pack),7567049972309,sports,"539 lakeview st, dallas, tx 75001",1,2.99,1.495,2.99,1.495,afternoon, tx 75001
2023-01-27,141340,lightning charging cable,2447527710441,électronique,"710 johnson st, boston, ma 02215",1,14.95,7.475,14.95,7.475,afternoon, ma 02215
2023-01-13,141341,lg dryer,3693247139316,vêtements,"844 walnut st, austin, tx 73301",1,600,198,600,402,morning, tx 73301
2023-01-26,141342,wired headphones,1964937699362,électronique,"119 9th st, seattle, wa 98101",1,11.99,5.995,11.99,5.995,evening, wa 98101
2023-01-24,141343,bose soundsport headphones,2161665949509,sports,"157 1st st, new york city, ny 10001",1,99.99,49.995,99.99,49.995,afternoon, ny 10001
2023-01-20,141344,apple airpods headphones,2687143374815,sports,"443 washington st, portland, or 97035",1,150,97.5,150,52.5,afternoon, or 97035
2023-01-09,141345,usb-c charging cable,8036467119144,électronique,"398 5th st, san francisco, ca 94016",1,11.95,5.975,11.95,5.975,afternoon, ca 94016
2023-01-14,141346,apple airpods headphones,9856974146595,sports,"285 cherry st, boston, ma 02215",1,150,97.5,150,52.5,afternoon, ma 02215
2023-01-27,141347,aa batteries (4-pack),4286992161856,alimentation,"885 walnut st, atlanta, ga 30301",1,3.84,1.92,3.84,1.92,afternoon, ga 30301
2023-01-26,141348,usb-c charging cable,8893195604756,vêtements,"493 5th st, portland, or 97035",2,11.95,5.975,23.9,11.95,evening, or 97035
2023-01-03,141349,lightning charging cable,9861394717513,vêtements,"886 10th st, new york city, ny 10001",1,14.95,7.475,14.95,7.475,evening, ny 10001
2023-01-01,141350,lightning charging cable,2897939401192,vêtements,"804 river st, san francisco, ca 94016",1,14.95,7.475,14.95,7.475,unknown, ca 94016
2023-01-24,141351,usb-c charging cable,6826664464310,électronique,"865 church st, san francisco, ca 94016",2,11.95,5.975,23.9,11.95,afternoon, ca 94016
2023-01-11,141352,lightning charging cable,2890452735932,vêtements,"800 4th st, los angeles, ca 90001",1,14.95,7.475,14.95,7.475,evening, ca 90001
2023-01-26,141353,usb-c charging cable,7623107737484,vêtements,"870 cherry st, new york city, ny 10001",1,11.95,5.975,11.95,5.975,morning, ny 10001
2023-01-03,141354,bose soundsport headphones,1869928502248,électronique,"869 hill st, atlanta, ga 30301",1,99.99,49.995,99.99,49.995,unknown, ga 30301
2023-01-18,141355,27in 4k gaming monitor,5083427771685,électronique,"674 main st, dallas, tx 75001",1,389.99,128.69670000000002,389.99,261.2933,afternoon, tx 75001
2023-01-09,141356,lightning charging cable,8733985102810,vêtements,"336 1st st, boston, ma 02215",1,14.95,7.475,14.95,7.475,afternoon, ma 02215
2023-01-05,141358,lightning charging cable,5899330525666,alimentation,"911 madison st, san francisco, ca 94016",1,14.95,7.475,14.95,7.475,afternoon, ca 94016
2023-01-09,141359,aaa batteries (4-pack),7190204643454,électronique,"383 11th st, seattle, wa 98101",2,2.99,1.495,5.98,2.99,evening, wa 98101
2023-01-17,141360,macbook pro laptop,4898157007261,alimentation,"263 meadow st, los angeles, ca 90001",1,1700,561,1700,1139,evening, ca 90001
2023-01-23,141361,apple airpods headphones,5160754547693,électronique,"181 lakeview st, portland, or 97035",2,150,97.5,300,105,afternoon, or 97035
2023-01-02,141362,lightning charging cable,5216181481849,alimentation,"392 cherry st, atlanta, ga 30301",1,14.95,7.475,14.95,7.475,evening, ga 30301
2023-01-08,141363,wired headphones,1622123382502,sports,"921 highland st, dallas, tx 75001",1,11.99,5.995,11.99,5.995,morning, tx 75001
2023-01-01,141364,aa batteries (4-pack),6226783330388,électronique,"657 lincoln st, dallas, tx 75001",1,3.84,1.92,3.84,1.92,morning, tx 75001
2023-01-10,141365,vareebadd phone,2984581451968,alimentation,"20 dogwood st, new york city, ny 10001",1,400,132,400,268,unknown, ny 10001
2023-01-10,141365,wired headphones,9336213253074,électronique,"20 dogwood st, new york city, ny 10001",1,11.99,5.995,11.99,5.995,unknown, ny 10001
2023-01-09,141367,27in 4k gaming monitor,4637385864399,sports,"23 13th st, san francisco, ca 94016",1,389.99,128.69670000000002,389.99,261.2933,morning, ca 94016
2023-01-10,141368,usb-c charging cable,9072352895358,alimentation,"387 hill st, los angeles, ca 90001",1,11.95,5.975,11.95,5.975,evening, ca 90001
2023-01-21,141369,lightning charging cable,4274934655851,vêtements,"785 9th st, san francisco, ca 94016",1,14.95,7.475,14.95,7.475,evening, ca 94016
2023-01-24,141370,aaa batteries (4-pack),4731118510328,sports,"375 center st, seattle, wa 98101",2,2.99,1.495,5.98,2.99,evening, wa 98101
2023-01-23,141371,lightning charging cable,6811446717063,électronique,"685 west st, atlanta, ga 30301",1,14.95,7.475,14.95,7.475,evening, ga 30301
2023-01-26,141372,aaa batteries (4-pack),9232347862381,électronique,"134 hickory st, portland, me 04101",1,2.99,1.495,2.99,1.495,morning, me 04101
2023-01-20,141373,27in fhd monitor,6960528486519,alimentation,"82 hickory st, san francisco, ca 94016",1,149.99,97.4935,149.99,52.4965,afternoon, ca 94016
2023-01-14,141374,wired headphones,5588098157823,vêtements,"386 12th st, boston, ma 02215",1,11.99,5.995,11.99,5.995,morning, ma 02215
2023-01-10,141375,27in 4k gaming monitor,8171971097683,vêtements,"49 center st, los angeles, ca 90001",1,389.99,128.69670000000002,389.99,261.2933,afternoon, ca 90001
2023-01-20,141376,wired headphones,6633779583659,alimentation,"32 west st, los angeles, ca 90001",1,11.99,5.995,11.99,5.995,afternoon, ca 90001
2023-01-20,141377,wired headphones,3138959044400,sports,"711 11th st, san francisco, ca 94016",1,11.99,5.995,11.99,5.995,afternoon, ca 94016
2023-01-22,141378,usb-c charging cable,4675191790918,électronique,"777 north st, boston, ma 02215",1,11.95,5.975,11.95,5.975,morning, ma 02215
2023-01-25,141379,aa batteries (4-pack),7879262389139,sports,"378 center st, san francisco, ca 94016",1,3.84,1.92,3.84,1.92,evening, ca 94016
2023-01-17,141380,usb-c charging cable,5977462016922,électronique,"868 14th st, los angeles, ca 90001",1,11.95,5.975,11.95,5.975,evening, ca 90001
2023-01-03,141381,bose soundsport headphones,2692809518964,sports,"336 jackson st, los angeles, ca 90001",1,99.99,49.995,99.99,49.995,evening, ca 90001
2023-01-16,141382,aaa batteries (4-pack),6419823204939,sports,"613 ridge st, dallas, tx 75001",1,2.99,1.495,2.99,1.495,afternoon, tx 75001
2023-01-08,141383,aaa batteries (4-pack),4572323637166,alimentation,"418 11th st, boston, ma 02215",1,2.99,1.495,2.99,1.495,morning, ma 02215
2023-01-10,141385,macbook pro laptop,9336243190730,sports,"502 walnut st, atlanta, ga 30301",1,1700,561,1700,1139,afternoon, ga 30301
2023-01-08,141386,lightning charging cable,6563440120633,alimentation,"692 13th st, new york city, ny 10001",1,14.95,7.475,14.95,7.475,evening, ny 10001
2023-01-17,141387,aaa batteries (4-pack),6172565372246,vêtements,"807 jackson st, san francisco, ca 94016",1,2.99,1.495,2.99,1.495,unknown, ca 94016
2023-01-22,141388,lightning charging cable,8898725736506,alimentation,"24 park st, dallas, tx 75001",1,14.95,7.475,14.95,7.475,morning, tx 75001
2023-01-26,141389,aa batteries (4-pack),4717637025243,alimentation,"176 church st, los angeles, ca 90001",1,3.84,1.92,3.84,1.92,unknown, ca 90001
2023-01-26,141390,wired headphones,5663329163205,sports,"667 park st, new york city, ny 10001",1,11.99,5.995,11.99,5.995,unknown, ny 10001
2023-01-31,141391,bose soundsport headphones,1140729220447,alimentation,"375 johnson st, new york city, ny 10001",1,99.99,49.995,99.99,49.995,morning, ny 10001
2023-01-25,141392,apple airpods headphones,1944397478598,vêtements,"755 cherry st, seattle, wa 98101",1,150,97.5,150,52.5,afternoon, wa 98101
2023-01-18,141393,usb-c charging cable,9154102342517,électronique,"240 meadow st, boston, ma 02215",1,11.95,5.975,11.95,5.975,afternoon, ma 02215
2023-01-06,141394,iphone,6557914369516,électronique,"534 12th st, san francisco, ca 94016",1,700,231,700,469,afternoon, ca 94016
2023-01-29,141395,aaa batteries (4-pack),6755546276339,sports,"790 hickory st, portland, me 04101",1,2.99,1.495,2.99,1.495,afternoon, me 04101
2023-01-26,141396,usb-c charging cable,2553148856494,sports,"141 elm st, san francisco, ca 94016",1,11.95,5.975,11.95,5.975,afternoon, ca 94016
2023-01-13,141397,lightning charging cable,7828761823422,alimentation,"940 8th st, new york city, ny 10001",1,14.95,7.475,14.95,7.475,afternoon, ny 10001
2023-01-04,141398,aaa batteries (4-pack),8202742459278,électronique,"33 jackson st, dallas, tx 75001",1,2.99,1.495,2.99,1.495,afternoon, tx 75001
2023-01-17,141399,thinkpad laptop,6460217819643,alimentation,"830 walnut st, atlanta, ga 30301",1,999.99,329.99670000000003,999.99,669.9933,morning, ga 30301
2023-01-18,141400,lightning charging cable,4760493229811,vêtements,"215 park st, new york city, ny 10001",1,14.95,7.475,14.95,7.475,evening, ny 10001
2023-01-23,141401,apple airpods headphones,2978752117594,sports,"34 cedar st, portland, or 97035",1,150,97.5,150,52.5,afternoon, or 97035
2023-01-07,141402,aaa batteries (4-pack),7560352898387,électronique,"939 lakeview st, atlanta, ga 30301",1,2.99,1.495,2.99,1.495,afternoon, ga 30301
2023-01-26,141403,lightning charging cable,5407208074325,vêtements,"216 meadow st, boston, ma 02215",1,14.95,7.475,14.95,7.475,afternoon, ma 02215
2023-01-29,141404,aa batteries (4-pack),7080731620631,vêtements,"200 14th st, san francisco, ca 94016",1,3.84,1.92,3.84,1.92,evening, ca 94016
2023-01-29,141405,wired headphones,2356744859220,alimentation,"247 forest st, los angeles, ca 90001",1,11.99,5.995,11.99,5.995,unknown, ca 90001
2023-01-28,141406,usb-c charging cable,7537967606333,électronique,"110 13th st, seattle, wa 98101",1,11.95,5.975,11.95,5.975,afternoon, wa 98101
2023-01-01,141407,apple airpods headphones,7984447015023,sports,"946 12th st, portland, me 04101",1,150,97.5,150,52.5,afternoon, me 04101
2023-01-07,141408,apple airpods headphones,2295476248120,sports,"103 14th st, san francisco, ca 94016",1,150,97.5,150,52.5,afternoon, ca 94016
2023-01-01,141409,bose soundsport headphones,6756439969753,électronique,"36 highland st, portland, me 04101",1,99.99,49.995,99.99,49.995,evening, me 04101
2023-01-03,141410,27in fhd monitor,9851783539987,sports,"890 6th st, dallas, tx 75001",1,149.99,97.4935,149.99,52.4965,evening, tx 75001
2023-01-14,141412,aa batteries (4-pack),2225755788048,alimentation,"397 dogwood st, atlanta, ga 30301",2,3.84,1.92,7.68,3.84,afternoon, ga 30301
2023-01-24,141413,aa batteries (4-pack),3170405342774,électronique,"793 5th st, san francisco, ca 94016",1,3.84,1.92,3.84,1.92,afternoon, ca 94016
2023-01-12,141415,wired headphones,3269415940241,vêtements,"81 madison st, san francisco, ca 94016",1,11.99,5.995,11.99,5.995,evening, ca 94016
2023-01-02,141416,aaa batteries (4-pack),8863804102309,électronique,"209 north st, atlanta, ga 30301",1,2.99,1.495,2.99,1.495,afternoon, ga 30301
2023-01-03,141417,bose soundsport headphones,8265359122088,sports,"207 1st st, san francisco, ca 94016",1,99.99,49.995,99.99,49.995,morning, ca 94016
2023-01-10,141418,apple airpods headphones,7694586455521,vêtements,"145 lakeview st, new york city, ny 10001",1,150,97.5,150,52.5,afternoon, ny 10001
2023-01-22,141419,wired headphones,8372740958157,électronique,"910 meadow st, san francisco, ca 94016",1,11.99,5.995,11.99,5.995,unknown, ca 94016
2023-01-09,141420,lightning charging cable,8711784085856,vêtements,"74 7th st, san francisco, ca 94016",2,14.95,7.475,29.9,14.95,afternoon, ca 94016
2023-01-16,141422,apple airpods headphones,6460543814611,vêtements,"970 lakeview st, boston, ma 02215",1,150,97.5,150,52.5,evening, ma 02215
2023-01-06,141423,lightning charging cable,1754326677178,électronique,"440 south st, new york city, ny 10001",2,14.95,7.475,29.9,14.95,afternoon, ny 10001
2023-01-13,141424,apple airpods headphones,9376724699193,alimentation,"971 walnut st, atlanta, ga 30301",1,150,97.5,150,52.5,evening, ga 30301
2023-01-19,141425,wired headphones,9198122903033,électronique,"347 hill st, atlanta, ga 30301",1,11.99,5.995,11.99,5.995,afternoon, ga 30301
2023-01-12,141426,google phone,4418570614010,sports,"824 madison st, dallas, tx 75001",1,600,198,600,402,afternoon, tx 75001
2023-01-16,141427,usb-c charging cable,5773417870042,vêtements,"355 13th st, los angeles, ca 90001",1,11.95,5.975,11.95,5.975,afternoon, ca 90001
2023-01-22,141428,aa batteries (4-pack),6237033921261,alimentation,"295 west st, new york city, ny 10001",1,3.84,1.92,3.84,1.92,morning, ny 10001
2023-01-21,141429,apple airpods headphones,4018888055296,sports,"273 hill st, atlanta, ga 30301",1,150,97.5,150,52.5,morning, ga 30301
2023-01-23,141430,34in ultrawide monitor,9159848634584,sports,"428 cedar st, los angeles, ca 90001",1,379.99,125.3967,379.99,254.5933,evening, ca 90001
2023-01-04,141431,usb-c charging cable,5291411045485,alimentation,"728 lakeview st, los angeles, ca 90001",1,11.95,5.975,11.95,5.975,morning, ca 90001
